internal_id,address,city,state,latitude,longitude
5761,3801 West Flagler Street,Miami,FL,25.7722525,-80.2576021
5760,5660 Curry Ford Rd,Orlando,FL,28.522164,-81.31123
5759,12981 South Orange Blossom Trl,Orlando,FL,28.3773187,-81.403377
5757,8601 Bird Rd,Miami,FL,25.734462,-80.333935
5756,14524 SW 8th st,Miami,FL,25.759837,-80.430479
5755,18600 NW 87th ave,Hialeah,FL,25.944159,-80.344113
5753,17171 Pines Blvd,Pembroke Pines,FL,26.00911,-80.375359
5752,10780 NW 58th St,Doral,FL,25.824992,-80.371893
5751,14655 SW 56th st,Miami,FL,25.715697,-80.430305
5750,831 NE 8th st,Homestead,FL,25.47835,-80.466547
5749,16255 SW 88th st,Miami,FL,25.685489,-80.455511
5748,3140 W 76th st,Hialeah,FL,25.890167,-80.346549
5747,10333 Pines Blvd,Pembroke Pines,FL,26.009538,-80.284135
5745,2325 N state road 7,Hollywood,FL,26.031321,-80.207382
5744,2425 SW 8th st,Miami,FL,25.765498,-80.235355
5742,13794 SW 152nd st,Miami,FL,25.625076,-80.416727
5741,6430 NW 186th st,Hialeah,FL,25.941449,-80.304662
5740,12175 SW 26th st,Miami,FL,25.746426,-80.390628
5739,10720 W Flagler St,Miami,FL,29.48103,-81.12746
5735,950 E 4th ave,Hialeah,FL,25.830699,-80.274207
5731,4803 SW 8th St.,Coral Gables,FL,25.764609,-80.273859
